"year","source","item","value","Reference"
1981,"Current study","PUE_pc",50.7988,"FAO (2022) Cropland Nutrient Budget (current study)"
1990,"Current study","Input_MtPperYr",20.007520471,"FAO (2022) Cropland Nutrient Budget (current study)"
1990,"Current study","Output_MtPperYr",11.9076822749,"FAO (2022) Cropland Nutrient Budget (current study)"
1990,"Current study","Surplus_MtPperYr",8.0998381961,"FAO (2022) Cropland Nutrient Budget (current study)"
1990,"Current study","PUE_pc",59.516,"FAO (2022) Cropland Nutrient Budget (current study)"
1964,"Current study","Input_MtPperYr",10.354299218,"FAO (2022) Cropland Nutrient Budget (current study)"
1964,"Current study","Output_MtPperYr",6.3906919593,"FAO (2022) Cropland Nutrient Budget (current study)"
1964,"Current study","Surplus_MtPperYr",3.9636072587,"FAO (2022) Cropland Nutrient Budget (current study)"
1964,"Current study","PUE_pc",61.7202,"FAO (2022) Cropland Nutrient Budget (current study)"
1973,"Current study","Input_MtPperYr",15.9871582615,"FAO (2022) Cropland Nutrient Budget (current study)"
1973,"Current study","Output_MtPperYr",8.3212032085,"FAO (2022) Cropland Nutrient Budget (current study)"
1973,"Current study","Surplus_MtPperYr",7.665955053,"FAO (2022) Cropland Nutrient Budget (current study)"
1973,"Current study","PUE_pc",52.0493,"FAO (2022) Cropland Nutrient Budget (current study)"
1982,"Current study","Input_MtPperYr",19.1576332436,"FAO (2022) Cropland Nutrient Budget (current study)"
1982,"Current study","Output_MtPperYr",10.1696354143,"FAO (2022) Cropland Nutrient Budget (current study)"
1982,"Current study","Surplus_MtPperYr",8.9879978293,"FAO (2022) Cropland Nutrient Budget (current study)"
1982,"Current study","PUE_pc",53.084,"FAO (2022) Cropland Nutrient Budget (current study)"
1991,"Current study","Input_MtPperYr",19.8416567601,"FAO (2022) Cropland Nutrient Budget (current study)"
1991,"Current study","Output_MtPperYr",11.6476599414,"FAO (2022) Cropland Nutrient Budget (current study)"
1991,"Current study","Surplus_MtPperYr",8.1939968187,"FAO (2022) Cropland Nutrient Budget (current study)"
1991,"Current study","PUE_pc",58.7031,"FAO (2022) Cropland Nutrient Budget (current study)"
1965,"Current study","Input_MtPperYr",11.0642375134,"FAO (2022) Cropland Nutrient Budget (current study)"
1965,"Current study","Output_MtPperYr",6.3774474158,"FAO (2022) Cropland Nutrient Budget (current study)"
1965,"Current study","Surplus_MtPperYr",4.6867900976,"FAO (2022) Cropland Nutrient Budget (current study)"
1965,"Current study","PUE_pc",57.6402,"FAO (2022) Cropland Nutrient Budget (current study)"
1974,"Current study","Input_MtPperYr",15.5937133995,"FAO (2022) Cropland Nutrient Budget (current study)"
1974,"Current study","Output_MtPperYr",8.1261744074,"FAO (2022) Cropland Nutrient Budget (current study)"
1974,"Current study","Surplus_MtPperYr",7.4675389922,"FAO (2022) Cropland Nutrient Budget (current study)"
1974,"Current study","PUE_pc",52.1119,"FAO (2022) Cropland Nutrient Budget (current study)"
1983,"Current study","Input_MtPperYr",19.9923653122,"FAO (2022) Cropland Nutrient Budget (current study)"
1983,"Current study","Output_MtPperYr",9.8352975535,"FAO (2022) Cropland Nutrient Budget (current study)"
1983,"Current study","Surplus_MtPperYr",10.1570677587,"FAO (2022) Cropland Nutrient Budget (current study)"
1983,"Current study","PUE_pc",49.1953,"FAO (2022) Cropland Nutrient Budget (current study)"
1992,"Current study","Input_MtPperYr",19.1801124492,"FAO (2022) Cropland Nutrient Budget (current study)"
1992,"Current study","Output_MtPperYr",11.7857632518,"FAO (2022) Cropland Nutrient Budget (current study)"
1992,"Current study","Surplus_MtPperYr",7.3943491974,"FAO (2022) Cropland Nutrient Budget (current study)"
